date,doses,doses_first,doses_second,pfizer_cumul,moderna_cumul,astrazeneca_cumul,persons_first_cumul,persons_full_cumul
2021-01-27,109702,51173,58529,2165046,35873,149,1787891,413210
2021-01-28,92810,47030,45780,2256217,37508,153,1834921,458990
2021-01-29,107856,49889,57967,2362514,38995,224,1884810,516957
2021-01-30,88197,34691,53506,2449821,39879,228,1919501,570463
2021-01-31,57292,25823,31469,2506722,40264,233,1945324,601932
2021-02-01,120570,58404,62166,2625011,42488,289,2003728,664098
2021-02-02,132958,65534,67424,2754802,45628,314,2069262,731522
2021-02-03,163286,64698,98588,2911658,52030,341,2133960,830110
2021-02-04,134787,62224,72563,3040535,57932,349,2196184,902673
2021-02-05,147684,69436,78248,3181732,64409,358,2265620,980921
2021-02-06,94242,45623,48619,3273333,67048,359,2311243,1029540
2021-02-07,53591,28308,25283,3324578,69390,362,2339551,1054823
2021-02-08,109523,53028,56495,3430228,73232,392,2392579,1111318
2021-02-09,134858,60317,74541,3561427,76704,579,2452896,1185859
2021-02-10,155525,77843,77682,3704233,81023,8978,2530739,1263541
2021-02-11,144835,75763,69072,3825201,88370,25496,2606502,1332613
2021-02-12,156387,80353,76034,3957776,97755,39917,2686855,1408647
2021-02-13,107939,62098,45841,4049020,101034,53332,2748953,1454488
2021-02-14,65511,39668,25843,4104742,103519,60635,2788621,1480331
2021-02-15,125995,70200,55795,4209850,108845,76184,2858821,1536126
2021-02-16,135065,78365,56700,4318955,115063,95925,2937186,1592826
2021-02-17,151995,95474,56521,4441887,123136,116911,3032660,1649347
2021-02-18,145344,91913,53431,4554902,131430,140940,3124573,1702778
2021-02-19,159021,103197,55824,4676212,141479,168601,3227770,1758602
2021-02-20,112625,76237,36388,4762981,145964,189966,3304007,1794990
2021-02-21,86100,57765,28335,4829615,149615,205778,3361772,1823325
2021-02-22,156754,98360,58394,4953266,158694,229801,3460132,1881719
2021-02-23,170680,110071,60609,5087655,166062,258722,3570203,1942328
2021-02-24,177272,117747,59525,5219922,173727,296061,3687950,2001853
2021-02-25,190515,131022,59493,5352079,180523,347623,3818972,2061346
2021-02-26,214407,146676,67731,5494183,189412,411037,3965648,2129077
2021-02-27,148463,108588,39875,5587047,193505,462540,4074236,2168952
2021-02-28,103716,79510,24206,5648752,197480,500574,4153746,2193158
2021-03-01,199544,149576,49968,5779894,207200,559256,4303322,2243126
2021-03-02,220392,168089,52303,5920957,217311,628474,4471411,2295429
2021-03-03,248823,177915,70908,6079771,232501,703292,4649326,2366337
2021-03-04,245950,182702,63248,6221694,247026,792794,4832028,2429585
2021-03-05,276258,208698,67560,6370542,260446,906782,5040726,2497145
2021-03-06,203148,154359,48789,6480187,269316,991415,5195085,2545934
2021-03-07,148075,114496,33579,6560161,276007,1052825,5309581,2579513
2021-03-08,238830,186853,51977,6694953,287002,1145867,5496434,2631490
2021-03-09,253509,198434,55075,6835774,299846,1245711,5694868,2686565
2021-03-10,289857,222324,67533,6995206,312129,1363852,5917192,2754098
2021-03-11,285153,224107,61046,7142786,325959,1487595,6141299,2815144
2021-03-12,328939,257738,71201,7294902,343373,1647003,6399037,2886345
2021-03-13,241871,191430,50441,7411311,352999,1762839,6590467,2936786
2021-03-14,170710,134969,35741,7499722,358523,1839614,6725436,2972527
2021-03-15,249771,190415,59356,7653112,371393,1923125,6915851,3031883
2021-03-16,179735,111269,68466,7820313,382718,1924334,7027120,3100349
2021-03-17,206224,124950,81274,8007648,400789,1925151,7152070,3181623
2021-03-18,194470,118533,75937,8182461,419045,1926552,7270603,3257560
2021-03-19,246409,161635,84774,8368780,439978,1965709,7432238,3342334
2021-03-20,221521,168075,53446,8504834,455339,2035815,7600313,3395780
2021-03-21,165089,126707,38382,8607401,464553,2089122,7727020,3434162
2021-03-22,270195,193364,76831,8774079,488554,2168638,7920384,3510993
2021-03-23,299489,214991,84498,8953018,508574,2269166,8135375,3595491
2021-03-24,339854,250185,89669,9151333,541997,2377279,8385560,3685160
2021-03-25,333068,251649,81419,9335910,569852,2497914,8637209,3766579
2021-03-26,374953,285789,89164,9535695,607281,2635651,8922998,3855743
2021-03-27,282663,220044,62619,9685802,635004,2740481,9143042,3918362
2021-03-28,196928,143541,53387,9801421,653575,2803216,9286583,3971749
2021-03-29,305880,216803,89077,9990379,678762,2894950,9503386,4060826
2021-03-30,326393,233812,92581,10205693,703357,2981433,9737198,4153407
2021-03-31,334480,232737,101743,10451783,739883,3033296,9969935,4255150
2021-04-01,332661,241671,90990,10692471,772547,3092585,10211606,4346159
2021-04-02,226606,158524,68082,10872526,787017,3124661,10370130,4414246
2021-04-03,232672,167885,64787,11046887,802940,3167049,10538015,4479033
2021-04-04,193658,142991,50667,11179651,813047,3217833,10681006,4529700
2021-04-05,248688,178186,70502,11345341,830957,3282921,10859192,4600202
2021-04-06,392557,297858,94699,11617529,863256,3370975,11157050,4694915
2021-04-07,725891,629464,96427,12216384,900703,3460547,11786514,4791358
2021-04-08,718490,631377,87113,12806599,936631,3552879,12417891,4878483
2021-04-09,621760,532737,89023,13285744,973535,3658583,12950628,4967511
2021-04-10,369552,304210,65342,13530159,996881,3760373,13254838,5032853
2021-04-11,261247,210772,50475,13698089,1015640,3834930,13465610,5083328
2021-04-12,412271,335423,76848,13968615,1045117,3947181,13801033,5160191
2021-04-13,603978,529940,74038,14427676,1072557,4064648,14330973,5234239
2021-04-14,808422,724505,83917,15077256,1106428,4189599,15055478,5318176
2021-04-15,682491,611748,70743,15614080,1142908,4298761,15667226,5388943
2021-04-16,582765,508119,74646,16037779,1175648,4425078,16175345,5463597
2021-04-17,359281,302581,56700,16255949,1198381,4543456,16477926,5520297
2021-04-18,267283,228162,39121,16425234,1213815,4626019,16706088,5559418
2021-04-19,398533,336463,62070,16712925,1247254,4703409,17042551,5621501
2021-04-20,589339,525717,63622,17111989,1286851,4854067,17568268,5685140
2021-04-21,749517,675277,74240,17582809,1329199,5090391,18243545,5759405
2021-04-22,639714,571629,68085,17963558,1373837,5304683,18815174,5827525
2021-04-23,541819,472045,69774,18309016,1417767,5457096,19287219,5897307
2021-04-24,362740,303487,59253,18541969,1467421,5537225,19590706,5956560
2021-04-25,280457,231107,49350,18728927,1501155,5596986,19821813,6005910
2021-04-26,436656,361920,74736,19055289,1543757,5664580,20183733,6080666
2021-04-27,859472,764836,94636,19809149,1595494,5717879,20948569,6175319
2021-04-28,1162664,1029687,132977,20859920,1656462,5767988,21978256,6308322
2021-04-29,946458,809352,137106,21685534,1720352,5824042,22787608,6445449
2021-04-30,766788,629421,137367,22329333,1777853,5888601,23417029,6582836
2021-05-01,324081,250881,73200,22569415,1819571,5928249,23667910,6656036
2021-05-02,258978,193817,65161,22759026,1857087,5958289,23861727,6721202
2021-05-03,454535,338314,116221,23074272,1927951,6025014,24200041,6837438
2021-05-04,897993,734306,163687,23744443,1991367,6186320,24934347,7001157
2021-05-05,1210824,972447,238377,24645683,2070766,6411902,25906794,7239552
2021-05-06,1001567,778041,223526,25342671,2163546,6619017,26684835,7463127
2021-05-07,857934,624388,233546,25900547,2250593,6827447,27309223,7696749
2021-05-08,413141,261353,151788,26157798,2322747,6909476,27570576,7848537
2021-05-09,280888,179709,101179,26348832,2379328,6941672,27750285,7949725
2021-05-10,603933,411692,192241,26729118,2461424,7078872,28161977,8142075
2021-05-11,1167243,868088,299155,27630297,2542241,7260289,29030065,8441276
2021-05-12,1469577,1096099,373477,28771041,2634707,7490835,30126164,8814835
2021-05-13,414424,259491,154933,29071298,2701732,7535295,30385655,8969776
2021-05-14,741438,518831,222607,29603364,2766858,7671696,30904486,9192428
2021-05-15,393980,234384,159596,29872315,2827793,7731493,31138870,9352033
2021-05-16,274209,158676,115533,30067145,2880385,7753539,31297546,9467572
2021-05-17,551980,352891,199089,30394916,2966469,7881624,31650437,9666752
2021-05-18,932169,558883,373286,31036622,3067847,8062774,32209320,10040145
2021-05-19,1190125,622058,568067,31913153,3168748,8263013,32831378,10608430
2021-05-20,985024,483496,501528,32623399,3266244,8429574,33314874,11110166
2021-05-21,843460,419107,424353,33203414,3352430,8594729,33733981,11535043
2021-05-22,397090,185897,211193,33452735,3421453,8659270,33919878,11746566
2021-05-23,272201,122844,149357,33641717,3481053,8674072,34042722,11896037
2021-05-24,316186,142034,174152,33872827,3542767,8689270,34184756,12070343
2021-05-25,686368,311952,374416,34343080,3622756,8796181,34496708,12464720
2021-05-26,1276608,595392,681216,35308340,3706022,8935177,35092100,13225336
2021-05-27,1056825,496838,559987,36055717,3795893,9068529,35588938,13861850
2021-05-28,888201,439073,449128,36642423,3882133,9197150,36028011,14386450
2021-05-29,406226,181926,224300,36894165,3944790,9259366,36209937,14629452
2021-05-30,273623,102660,170963,37084489,3991966,9286171,36312597,14803017
2021-05-31,581552,249520,332032,37465359,4059985,9366920,36562117,15180670
2021-06-01,1028181,500426,527486,38252484,4139896,9442370,37062543,15787617
2021-06-02,1318024,665976,651865,39300973,4213121,9523424,37728519,16547247
2021-06-03,641707,285743,355795,39773530,4277878,9573738,38014262,16949752
2021-06-04,800281,363719,436135,40345964,4349087,9651484,38377981,17459169
2021-06-05,412532,130427,281938,40609666,4416080,9695114,38508408,17771180
2021-06-06,272877,63321,209436,40803858,4456832,9719972,38571729,17985167
2021-06-07,610604,244991,365497,41198525,4541958,9796348,38816720,18401695
2021-06-08,1147900,442152,705588,42135171,4617506,9858874,39258872,19176379
2021-06-09,1508809,577797,930770,43392191,4704893,9923493,39836669,20198408
2021-06-10,1219609,512235,707091,44370529,4794558,9981690,40348904,20992516
2021-06-11,1037009,460145,576472,45151380,4884285,10050086,40809049,21657326
2021-06-12,433963,166951,266809,45428009,4957139,10095550,40976000,21955779
2021-06-13,262095,67650,194220,45591740,5020669,10119176,41043650,22155880
2021-06-14,641909,263892,377632,46003307,5122219,10191199,41307542,22585778
2021-06-15,1144301,445215,698816,46895720,5226721,10276432,41752757,23344008
2021-06-16,1441808,566764,874868,48054153,5332731,10375767,42319521,24291986
2021-06-17,1159500,480557,678166,48945417,5436565,10468409,42800078,25038095
2021-06-18,965366,410715,554461,49651343,5531468,10564205,43210793,25657091
2021-06-19,425413,147993,277285,49916537,5614035,10615479,43358786,25957809
2021-06-20,278943,72999,205859,50082610,5685372,10645887,43431785,26170342
2021-06-21,622271,238386,383756,50485758,5783277,10733165,43670171,26585759
2021-06-22,1162174,437567,724465,51412375,5879446,10839956,44107738,27338629
2021-06-23,1425473,562468,862880,52583959,5976040,10960327,44670206,28232553
2021-06-24,1037189,549452,487624,53377760,6063646,11074106,45219658,28755241
2021-06-25,898486,415133,483230,54052569,6140109,11180085,45634791,29269503
2021-06-26,410717,154744,255850,54302572,6209441,11254682,45789535,29537187
2021-06-27,278963,88391,190503,54463488,6267673,11310279,45877926,29730564
2021-06-28,618384,260344,357940,54853619,6357559,11425146,46138270,30107474
2021-06-29,1004789,443436,561253,55603570,6450154,11564705,46581706,30686813
2021-06-30,1128671,521541,607039,56473564,6544568,11707915,47103247,31310938
2021-07-01,955366,465928,489346,57197703,6627228,11834622,47569175,31817588
2021-07-02,826227,391169,434930,57832567,6721177,11910180,47960344,32268537
2021-07-03,379787,165737,213985,58088345,6800819,11938176,48126081,32487988
2021-07-04,255849,94318,161467,58255861,6869072,11950212,48220399,32650153
2021-07-05,529843,206707,323031,58638354,6963145,11987760,48427106,32984318
2021-07-06,845304,309213,536013,59322196,7061566,12034570,48736319,33531068
2021-07-07,1069503,360980,708355,60225348,7156429,12087412,49097299,34251279
2021-07-08,872700,290385,582217,60933873,7256695,12130875,49387684,34845783
2021-07-09,728411,225002,503241,61505327,7354497,12171329,49612686,35358466
2021-07-10,337746,105387,232277,61724853,7439614,12192861,49718073,35594456
2021-07-11,219554,67565,151893,61861843,7503556,12202833,49785638,35747307
2021-07-12,466473,161937,304434,62209330,7582435,12228024,49947575,36059466
2021-07-13,827874,210046,617740,62903753,7659139,12264979,50157621,36689344
2021-07-14,1059300,240699,818386,63817992,7730781,12313874,50398320,37521763
2021-07-15,785153,201172,583769,64470124,7801140,12353101,50599492,38119960
2021-07-16,642140,171012,471005,64997521,7865281,12381705,50770504,38602416
2021-07-17,279801,89790,186631,65179734,7928680,12397084,50860294,38790837
2021-07-18,179361,68633,110683,65296395,7970553,12407445,50928927,38901861
2021-07-19,369582,103272,266218,65584424,8021142,12425241,51032199,39174491
2021-07-20,659533,149729,509683,66160938,8069124,12446794,51181928,39690750
2021-07-21,812359,179492,632761,66890212,8114812,12470031,51361420,40330240
2021-07-22,657705,144448,513152,67470190,8158359,12489881,51505868,40850477
2021-07-23,538418,123339,414938,67934066,8200383,12505450,51629207,41270889
2021-07-24,209953,63321,146315,68085943,8238780,12512777,51692528,41418704
2021-07-25,111968,36874,75051,68157558,8270390,12515636,51729402,41493967
2021-07-26,333286,82117,251081,68427596,8309409,12528450,51811519,41748775
2021-07-27,599959,118327,481485,68950254,8351783,12550270,51929846,42234572
2021-07-28,742261,143972,598022,69606893,8398433,12574920,52073818,42837241
2021-07-29,591761,122718,468791,70120586,8441991,12594749,52196536,43310954
2021-07-30,474565,107466,366759,70518517,8487484,12609848,52304002,43681772
2021-07-31,190837,59556,131056,70655006,8523647,12615682,52363558,43813621
2021-08-01,105165,34845,70124,70727619,8548587,12617400,52398403,43883800
2021-08-02,290440,70488,219724,70964322,8582030,12626281,52468891,44106848
2021-08-03,500786,96688,403696,71401445,8620353,12638168,52565579,44515239
2021-08-04,614938,119887,494649,71953926,8657197,12650271,52685466,45014900
2021-08-05,533987,104886,428733,72425885,8697162,12657370,52790352,45449050
2021-08-06,428014,95165,332439,72796020,8732944,12664297,52885517,45785792
2021-08-07,181055,53645,126950,72930569,8765003,12665626,52939162,45913139
2021-08-08,109161,26683,82311,73013660,8786647,12666197,52965845,45995578
2021-08-09,292789,62207,230221,73249692,8828160,12671951,53028052,46228843
2021-08-10,468622,93529,374722,73655540,8870752,12680239,53121581,46607746
2021-08-11,578003,129163,448199,74160262,8918319,12689643,53250744,47060714
2021-08-12,487406,126704,360088,74582356,8956656,12696847,53377448,47426877
2021-08-13,403775,112733,290407,74919685,8997870,12702397,53490181,47721715
2021-08-14,195381,67923,126806,75065092,9030317,12703737,53558104,47848944
2021-08-15,112062,37427,74396,75148866,9051214,12704188,53595531,47923434
2021-08-16,265029,85438,178860,75363591,9084185,12707225,53680969,48106139
2021-08-17,396901,124531,271606,75708689,9113999,12712920,53805500,48382908
2021-08-18,456259,148091,307201,76109531,9144142,12718886,53953591,48695965
2021-08-19,377759,138738,237888,76435138,9170649,12724345,54092329,48940594
2021-08-20,309224,123672,184353,76695847,9194542,12728294,54216001,49129767
2021-08-21,153992,72767,80561,76813810,9215696,12728986,54288768,49210725
2021-08-22,90744,39099,51275,76882962,9231239,12729159,54327867,49262160
2021-08-23,224178,91637,131689,77060439,9260455,12732609,54419504,49397871
2021-08-24,320591,131934,187340,77334956,9286235,12736017,54551438,49591135
2021-08-25,363173,151532,209657,77650992,9311240,12739206,54702970,49806554
2021-08-26,311590,140760,168841,77919156,9333013,12741988,54843730,49982134
2021-08-27,263454,120895,140418,78138540,9355389,12744296,54964625,50127356
2021-08-28,138427,71040,66214,78246022,9370780,12744828,55035665,50194013
2021-08-29,80830,36033,43995,78312020,9379212,12744901,55071698,50238077
2021-08-30,187876,85903,100640,78467447,9396395,12746728,55157601,50342556
2021-08-31,273913,127099,144536,78707886,9412324,12748881,55284700,50492763
2021-09-01,326268,136162,166544,79000719,9428026,12750961,55420862,50664920
2021-09-02,277568,123152,135565,79247977,9441105,12752894,55544014,50807245
2021-09-03,223518,97740,109918,79443565,9453347,12754156,55641754,50921605
2021-09-04,106566,47896,53955,79531326,9461900,12754518,55689650,50975885
2021-09-05,59897,26447,30359,79580442,9467644,12754577,55716097,51006353
2021-09-06,153331,64728,72725,79713635,9477403,12755679,55780825,51082368
2021-09-07,247007,102576,118750,79938523,9486618,12756947,55883401,51206111
2021-09-08,284432,113900,138756,80196641,9498848,12758207,55997301,51349596
2021-09-09,269730,111841,129844,80439668,9510208,12759392,56109142,51485481
2021-09-10,219068,85265,111814,80629666,9522706,12760378,56194407,51601581
2021-09-11,108589,43290,59084,80718289,9531551,12760511,56237697,51660985
2021-09-12,61638,22782,34397,80769474,9536725,12760556,56260479,51695452
2021-09-13,160762,61820,78447,80907067,9546902,12761510,56322299,51777499
2021-09-14,265258,104193,123932,81149080,9555112,12763073,56426492,51906445
2021-09-15,311921,113798,148760,81433264,9566528,12764214,56540290,52060406
2021-09-16,290906,114056,136488,81696771,9576348,12765782,56654346,52203306
2021-09-17,236693,88602,117268,81906032,9587291,12766402,56742948,52324878
2021-09-18,111403,41419,62223,81999387,9594928,12766641,56784367,52387440
2021-09-19,63030,21728,36264,82051838,9600776,12766803,56806095,52423723
2021-09-20,158461,52683,80401,82191946,9608630,12767697,56858778,52507247
2021-09-21,263148,89599,125743,82435781,9616447,12768391,56948377,52637661
2021-09-22,301058,96081,143249,82713808,9626464,12769233,57044458,52785135
2021-09-23,284949,99340,135078,82976343,9634623,12769936,57143798,52925891
2021-09-24,222384,73650,113811,83176163,9644060,12770377,57217448,53043459
2021-09-25,99694,32427,57491,83260838,9650410,12770466,57249875,53101446
2021-09-26,53486,16885,31421,83306358,9654262,12770500,57266760,53132943
2021-09-27,148824,47174,73504,83440461,9660406,12770841,57313934,53209450
2021-09-28,251790,81987,117447,83676096,9666098,12771191,57395921,53331091
2021-09-29,268404,82456,125115,83928271,9671752,12771707,57478377,53460229
2021-09-30,233180,75220,113456,84145304,9677353,12772034,57553597,53577745
2021-10-01,127013,43961,57091,84262656,9680378,12772252,57597558,53638297
2021-10-02,29137,12199,13567,84286817,9682334,12772290,57609757,53652090
2021-10-03,8485,3252,3858,84293752,9683086,12772292,57613009,53656017
2021-10-04,96414,31737,43920,84381156,9686701,12772485,57644746,53702964
2021-10-05,220263,64843,101895,84590913,9690524,12772764,57709589,53808808
2021-10-06,233698,65626,104503,84813432,9694844,12772962,57775215,53917231
2021-10-07,237456,71271,110159,85038321,9699265,12773232,57846486,54032448
2021-10-08,158043,48477,69799,85185192,9703439,12773383,57894963,54105969
2021-10-09,37878,15257,17846,85217366,9705938,12773404,57910220,54124090
2021-10-10,11855,5071,5453,85227070,9706852,12773408,57915291,54129579
2021-10-11,98524,30850,42561,85317272,9710630,12773563,57946141,54174612
2021-10-12,214491,58557,93238,85520982,9715842,12773768,58004698,54271161
2021-10-13,231960,61759,97201,85741845,9721375,12774016,58066457,54371019
2021-10-14,230951,63492,100791,85961053,9726933,12774240,58129949,54475432
2021-10-15,151412,43071,65074,86101990,9732377,12774338,58173020,54542865
2021-10-16,39356,15115,18390,86136096,9734929,12774355,58188135,54561495
2021-10-17,11891,4442,5377,86144989,9737089,12774361,58192577,54566893
2021-10-18,99016,28035,40389,86236209,9741038,12774484,58220612,54609241
2021-10-19,212501,53361,88303,86439281,9746016,12774688,58273973,54699927
2021-10-20,229813,54377,89667,86659507,9751195,12774837,58328350,54791817
2021-10-21,224248,55744,89429,86874602,9755829,12774967,58384094,54883734
2021-10-22,151278,38658,58254,87016558,9760897,12775058,58422752,54943816
2021-10-23,39764,13942,15657,87050931,9763925,12775081,58436694,54959798
2021-10-24,11995,4036,4983,87061393,9764634,12775082,58440730,54964806
2021-10-25,108767,25726,40087,87163382,9768530,12775160,58466456,55006404
2021-10-26,252438,52134,91822,87405925,9774357,12775299,58518590,55100341
2021-10-27,275248,54450,91222,87670121,9781581,12775447,58573040,55193454
2021-10-28,275365,55650,92580,87934407,9788385,12775647,58628690,55288356
2021-10-29,186634,39863,58577,88110172,9795552,12775806,58668553,55348415
2021-10-30,47326,14550,15307,88151580,9799302,12775826,58683103,55363984
2021-10-31,12948,3989,4065,88162967,9800210,12775842,58687092,55368080
2021-11-01,61302,12062,16476,88219754,9803311,12775890,58699154,55385303
2021-11-02,250710,43321,73021,88460868,9810149,12776044,58742475,55459791
2021-11-03,325329,54052,80735,88773848,9818899,12776203,58796527,55542138
2021-11-04,331818,58426,84837,89093206,9827095,12776443,58854953,55629086
2021-11-05,243936,43236,53882,89323994,9836016,12776514,58898189,55684672
2021-11-06,70464,18991,16072,89385720,9841722,12776544,58917180,55701160
2021-11-07,23674,6004,5407,89406459,9843725,12776545,58923184,55706607
2021-11-08,179734,31195,36062,89575096,9851346,12776627,58954379,55744249
2021-11-09,394032,61567,79841,89953111,9862474,12776787,59015946,55826332
2021-11-10,450225,65794,79361,90386388,9874653,12776918,59081740,55907657
2021-11-11,452455,70088,81649,90820732,9887560,12777041,59151828,55992001
2021-11-12,352956,54774,53265,91156068,9900245,12777126,59206602,56047478
2021-11-13,105876,26113,17327,91252989,9906041,12777140,59232715,56065366
2021-11-14,33239,7969,4703,91283111,9908368,12777147,59240684,56070109
2021-11-15,253207,39921,35093,91522457,9918261,12777343,59280605,56107132
2021-11-16,535140,72603,73401,92038700,9932403,12777474,59353208,56183041
2021-11-17,599588,75241,71168,92616041,9949771,12777575,59428449,56256315
2021-11-18,638454,82684,77621,93229296,9968865,12777744,59511133,56337111
2021-11-19,535966,72764,54986,93737900,9988999,12778205,59583897,56394648
2021-11-20,241530,48945,20862,93957797,10003575,12778276,59632842,56416330
2021-11-21,79807,14554,6476,94026618,10012721,12778298,59647396,56423026
2021-11-22,428129,68364,35227,94422577,10037004,12778387,59715760,56461917
2021-11-23,858007,125818,75337,95227735,10077397,12778625,59841578,56543210
2021-11-24,1019861,144295,83297,96178583,10132384,12778850,59985873,56632049
2021-11-25,964492,145521,84252,97069340,10191288,12779327,60131394,56724056
2021-11-26,840547,117048,62376,97829400,10259802,12779512,60248442,56791851
2021-11-27,704974,110253,36990,98431761,10349209,12779596,60358695,56831848
2021-11-28,172259,26643,9404,98558514,10391295,12779608,60385338,56841606
2021-11-29,590629,83574,42105,99027059,10504343,12779799,60468912,56888889
2021-11-30,1049418,122892,79414,99776445,10794117,12780105,60591804,56974474
2021-12-01,1276084,125865,85545,100611107,11226472,12780346,60717669,57064874
2021-12-02,1189727,117214,89053,101372076,11645543,12780721,60834883,57159646
2021-12-03,1077928,97848,67819,102039963,12048269,12780823,60932731,57231580
2021-12-04,1018903,87582,43227,102539072,12559682,12781150,61020313,57277196
2021-12-05,273570,21368,12395,102650586,12720106,12781158,61041681,57290147
2021-12-06,752606,68226,47811,103048655,13067886,12781441,61109907,57341790
2021-12-07,1204176,94602,83620,103696809,13617116,12781588,61204509,57429973
2021-12-08,1425398,101509,90746,104430675,14302437,12781768,61306018,57524487
2021-12-09,1323759,94027,94837,105118245,14932436,12781976,61400045,57623233
2021-12-10,1224093,78818,80144,105734533,15534734,12782185,61478863,57706580
2021-12-11,1218410,73195,55986,106228173,16255146,12782228,61552058,57763976
2021-12-12,317918,17846,16795,106343227,16456836,12782239,61569904,57781065
2021-12-13,807816,54311,60014,106740430,16863588,12782335,61624215,57843473
2021-12-14,1351733,87853,111097,107484317,17467074,12782517,61712068,57957054
2021-12-15,1562042,104619,124369,108348444,18161292,12782644,61816687,58083608
2021-12-16,1463216,104728,136378,109171324,18797690,12783001,61921415,58222297
2021-12-17,1279394,105782,114134,109885741,19359471,12783128,62027197,58338222
2021-12-18,1138096,107697,77901,110443207,19937769,12783369,62134894,58416968
2021-12-19,349457,42163,22219,110609401,20120140,12783639,62177057,58439376
2021-12-20,894353,75312,89659,111097747,20523988,12783714,62252369,58530292
2021-12-21,1241591,99787,135916,111808781,21052144,12783938,62352156,58667601
2021-12-22,1219119,101057,125855,112501514,21576562,12784145,62453213,58794521
2021-12-23,671289,59508,73571,112871529,21876461,12784270,62512721,58868751
2021-12-24,48817,4010,5234,112895953,21900726,12784282,62516731,58874041
2021-12-25,27978,1648,1966,112909937,21914521,12784388,62518379,58876034
2021-12-26,62536,5304,4785,112941387,21945527,12784389,62523683,58880850
2021-12-27,605950,50794,64202,113245602,22246183,12784548,62574477,58945572
2021-12-28,748499,64692,80330,113633257,22605877,12784691,62639169,59026302
2021-12-29,700372,64948,72666,113998884,22939400,12785023,62704117,59099325
2021-12-30,486459,46796,52303,114243909,23179751,12785057,62750913,59151907
2021-12-31,59494,4775,6056,114270740,23212236,12785120,62755688,59158004
2022-01-01,28688,2217,2912,114283932,23227646,12785175,62757905,59160916
2022-01-02,154099,16418,14305,114365979,23299549,12785181,62774323,59175248
2022-01-03,481977,39593,62027,114617333,23529435,12785215,62813916,59237593
2022-01-04,701820,57530,95756,115004973,23841858,12785859,62871446,59334080
2022-01-05,817525,60426,113104,115464090,24199112,12786097,62931872,59447684
2022-01-06,684465,51570,92407,115854896,24491357,12786672,62983442,59540607
2022-01-07,767051,56808,117440,116301731,24809559,12786773,63040250,59659017
2022-01-08,520002,45721,82825,116601793,25028524,12786882,63085971,59742053
2022-01-09,185137,18712,34759,116716817,25098094,12787178,63104683,59776912
2022-01-10,560095,37381,84548,117034443,25339514,12787189,63142064,59861956
2022-01-11,797021,54386,120548,117498196,25670572,12787638,63196450,59983340
2022-01-12,881731,59833,134572,118020647,26028186,12787730,63256283,60118392
2022-01-13,837875,58329,126379,118522814,26361883,12787970,63314612,60245375
2022-01-14,780278,62559,114746,118997745,26664417,12788604,63377171,60360657
2022-01-15,467234,58750,71641,119288716,26839829,12788831,63435921,60432389
2022-01-16,154525,18921,23328,119386939,26895692,12788904,63454842,60455924
2022-01-17,481334,39585,74175,119684194,27078733,12788964,63494427,60530462
2022-01-18,652790,50699,97668,120099972,27314140,12789351,63545126,60628760
2022-01-19,681428,58592,106085,120540273,27552504,12790628,63603718,60735471
2022-01-20,701838,57829,107360,120995796,27797809,12790699,63661547,60843121
2022-01-21,598408,53448,95019,121392468,27998485,12790747,63714995,60938501
2022-01-22,296512,38357,57888,121591315,28095436,12790822,63753352,60996514
2022-01-23,107766,13282,26611,121666104,28128330,12790824,63766634,61023147
2022-01-24,357267,31091,65126,121901774,28249413,12790827,63797725,61088471
2022-01-25,500775,41553,86228,122245938,28404321,12791230,63839278,61175257
2022-01-26,504142,41515,84973,122600780,28552737,12791265,63880793,61260456
2022-01-27,510350,41832,96109,122963657,28697310,12791328,63922625,61356565
2022-01-28,438284,38566,82077,123283291,28815212,12791355,63961191,61438642
2022-01-29,211986,26526,53790,123439418,28870671,12791512,63987717,61492432
2022-01-30,75590,8919,20979,123495511,28890043,12791534,63996636,61513411
